="Table. Descriptive statistics"
="",="(1)",="(2)",="(3)",="(4)"
="",="Total",="Foreign",="Domestic",="p-value"
="Price",=" 6165.26",=" 6384.68",=" 6072.42",="0.680 "
="",="(2949.496)",="(2621.915)",="(3097.104)",=""
="Mileage (mpg)",=" 21.30",=" 24.77",=" 19.83",="0.001 "
="",="(5.786)",="(6.611)",="(4.743)",=""
="Trunk space (cu. ft.)",=" 13.76",=" 11.41",=" 14.75",="0.002 "
="",="(4.277)",="(3.217)",="(4.306)",=""
="Headroom (in.)",=" 2.99",=" 2.61",=" 3.15",="0.011 "
="",="(0.846)",="(0.486)",="(0.916)",=""
="Length (in.)",=" 187.93",=" 168.55",=" 196.13",="0.000 "
="",="(22.266)",="(13.683)",="(20.046)",=""
="Turn Circle (ft.) ",=" 39.65",=" 35.41",=" 41.44",="0.000 "
="",="(4.399)",="(1.501)",="(3.968)",=""
="Displacement (cu. in.)",=" 197.30",=" 111.23",=" 233.71",="0.000 "
="",="(91.837)",="(24.881)",="(85.263)",=""
="Observations",="74",="22",="52",="74"
